alpha3,pseudoYear,lrgdpnaPerCapita_chg7_temp,lrgdpnaPerCapita_chg7_subRegionMean,country,year,gini_disp,gini_mkt,region,subRegion,lcgdpoPerCapitaUSA,isExtrapolated,lrtfpna,lrgdpnaPerCapita,lrgdpoPerCapita,lcgdpoPerCapita,lrgdpnaPerCapita_chg7,lrtfpna_chg7,lrgdpnaPerCapita_chg1,lrtfpna_chg1,lrgdpnaPerCapita_chg7_nonTFP,lrgdpnaPerCapita_chg1_nonTFP,lcgdpoPerCapita_gap,lcgdpoPerCapita_gap_avg7,subRegion_new,isLAC,isAfrica,isEAT,gini_disp_chg1,gini_mkt_chg1,lcgdpoPerCapita_gap_chg1,countryLAC,hasGiniDisp,hasGiniMkt,resid,cumulativeTFP,cumulativeNonTFP,post1990,cumulativeTFP1990,cumulativeNonTFP1990,lag_lcgdpoPerCapita_gap_avg7
AUS,1982,1.04914542304141,2.66963716343532,Australia,1982,27.8,40.6,Oceania,Australia and New Zealand,10.2652426692819,0,-0.112934704700017,10.1663275437767,9.99957872469666,10.0201914814556,1.04914542304141,-0.423349769815093,-3.61490366026001,-2.89906636879728,1.4724951928565,-0.715837291462725,-0.2450511878263,-0.264910020331949,Others,0,0,0,-0.0999999999999979,0.300000000000004,-0.521588156350106,nonLAC,1,1,-0.231022941144335,0.167696258996545,0.658646055178756,0,0,0,-0.212558473538596
AUS,1989,2.61225549950715,2.30617905354096,Australia,1989,29.9,43.4,Oceania,Australia and New Zealand,10.4961554218642,0,-0.0653970693127952,10.3491854287422,10.2118170434669,10.2301065365815,2.61225549950715,0.679109076960312,2.47586076952988,-0.70671730486393,1.93314642254684,3.18257807439381,-0.2660488852827,-0.2722200971216,Others,0,0,0,0.399999999999999,0.399999999999999,-0.396026178870024,nonLAC,1,1,0.17831487330817,0.252584893616584,0.90028935799711,0,0,0,-0.264910020331949
AUS,1996,1.59796613503573,2.24766782473845,Australia,1996,30.6,46,Oceania,Australia and New Zealand,10.6043368118321,0,-0.00457221856221223,10.4610430581947,10.350126140248,10.3488275701567,1.59796613503573,0.868926439294042,2.81713732535014,1.29624663035713,0.729039695741691,1.52089069499301,-0.2555092416754,-0.282045451391829,Others,0,0,0,0.300000000000001,0.100000000000001,1.21613400790999,nonLAC,1,1,0.13779451888306,0.361200698528339,0.991419319964822,1,0.217231609823511,0.182259923935423,-0.2722200971216
AUS,2003,2.63318860714428,2.41177868733355,Australia,2003,31.6,47.8,Oceania,Australia and New Zealand,10.7573169934013,0,0.0458265027498236,10.6453662606948,10.5348998048585,10.5503146305912,2.63318860714428,0.719981733029083,2.79078041044993,0.35311754773571,1.91320687411519,2.43766286271422,-0.207002362810099,-0.233162419667443,Others,0,0,0,-0.0999999999999979,0,0.764080113870058,nonLAC,1,1,-0.201496447898409,0.451198415156974,1.23057017922922,1,0.397227043080781,0.660561642464221,-0.282045451391829
AUS,2010,1.14166420922857,1.92328025178751,Australia,2010,32.7,47.8,Oceania,Australia and New Zealand,10.811535892488,0,-0.00688173534399086,10.7252827553408,10.71118811567,10.7114671302427,1.14166420922857,-0.752974829911635,0.684009896859905,-0.805668683162318,1.8946390391402,1.48967858002222,-0.1000687622453,-0.174309160274114,Others,0,0,0,0.100000000000001,0.0999999999999943,4.42200135526001,nonLAC,1,1,0.0661652230140026,0.35707656141802,1.46740005912175,1,0.208983335602873,1.13422140224927,-0.233162419667443
AUS,2017,1.26978274924429,1.87825486309269,Australia,2017,,,Oceania,Australia and New Zealand,10.9076320435205,0,0.0528651203646639,10.8141675477879,10.7662218674764,10.781829071847,1.26978274924429,0.853526510123639,1.56816363383001,1.08504855770247,0.416256239120648,0.483115076127541,-0.125802971673501,-0.114743236885357,Others,0,0,0,,,0.454653095559898,nonLAC,0,0,,0.463767375183475,1.51943208901183,1,0.422364963133782,1.23828546202943,-0.174309160274114
AUT,1968,3.30041186817413,3.76954995574092,Austria,1968,,,Europe,Western Europe,10.0479275800112,0,-0.393021201308729,9.62326932540614,9.37436633856488,9.43047370554564,3.30041186817413,2.49771722152814,3.72029163400001,3.40515137324141,0.802694646645987,0.315140260758601,-0.617453874465559,-0.617006368065886,Others,0,0,0,,,0.34255781722905,nonLAC,0,0,,0.312214652691018,0.100336830830748,0,0,0,
AUT,1975,4.29430334810014,3.43927560609104,Austria,1975,,,Europe,Western Europe,10.1461448672235,0,-0.255186116784029,9.92387055977315,9.66099560402217,9.69718860311667,4.29430334810014,1.96907263606714,-0.513766327001974,0.2689920005364,2.325230712033,-0.782758327538374,-0.44895626410683,-0.502397902306568,Others,0,0,0,,,1.97988567459007,nonLAC,0,0,,0.558348732199411,0.390990669834873,0,0,0,-0.617006368065886
AUT,1982,2.63838945279643,2.66963716343532,Austria,1982,,,Europe,Western Europe,10.2652426692819,0,-0.188607292431623,10.1085578214689,9.78286491541104,9.79975656090902,2.63838945279643,0.951126062177229,2.02196845972988,1.0206727745341,1.6872633906192,1.00129568519578,-0.465486108372881,-0.487195529446825,Others,0,0,0,,,4.33013007833889,nonLAC,0,0,,0.677239489971564,0.601898593662272,0,0,0,-0.502397902306568
AUT,1989,2.14635996466857,2.30617905354096,Austria,1989,24.4,39.3,Europe,Western Europe,10.4961554218642,0,-0.132362462659957,10.2588030189957,10.0135250320332,10.0404187020192,2.14635996466857,0.803497568166657,3.45199454380989,0.9626286323689,1.34286239650192,2.48936591144099,-0.455736719845,-0.50834893598435,Others,0,0,0,0.5,0.5,2.901522202278,nonLAC,1,1,0.301702696198821,0.777676685992396,0.769756393225012,0,0,0,-0.487195529446825
