alpha3,region,subRegion,country,year,cgdpo,ctfp,rtfpna,rgdpna,rgdpo,pop,rgdpnaPerCapita,rgdpoPerCapita,growth_rgdpnaPerCapita,growth_rgdpoPerCapita,growth_rtfpna,numComplete,numObs,noIncomplete,isLAC,growth_rgdpnaPerCapita_demeaned,growth_rgdpoPerCapita_demeaned,growth_rtfpna_demeaned
PER,Americas,Latin America and the Caribbean,Peru,2005,172571.28125,0.407730609178543,0.926577508449554,202360.75,170804.875,27.6104106903076,7329.14668563901,6186.24898107581,0.0296381772120204,0.0487353481471313,0.00655032875203898,12,12,1,1,0.014727366738033,0.0222292454162475,0.00997083108901784
PER,Americas,Latin America and the Caribbean,Peru,2010,272204.15625,0.541112244129181,0.992420494556427,282213.0625,272063.53125,29.3736457824707,9607.69611610201,9262.16422928199,0.0556335121730696,0.0840692268302263,0.0138245278388216,12,12,1,1,0.0407227016990821,0.0575631240993425,0.0172450301758005
PER,Americas,Latin America and the Caribbean,Peru,2015,344020.75,0.541352033615112,0.988792777061462,356364.71875,343327.46875,31.3766708374023,11357.6332108886,10942.1254577697,0.0340313743069769,0.0338983506858646,-0.000732156080301305,12,12,1,1,0.0191205638329894,0.00739224795498077,0.00268834625667756
PHL,Asia,South-eastern Asia,Philippines,1960,47172.96875,0.464021176099777,1.21164608001709,74333.59375,49061.09375,26.4604434967041,2809.23461314089,1854.12968441406,,,,12,12,1,0,,,
PHL,Asia,South-eastern Asia,Philippines,1965,61000.0625,0.430517643690109,1.18644070625305,96072.65625,63021.3046875,30.8555011749268,3113.63136529018,2042.46576097462,0.020788659379223,0.0195368690523401,-0.00419557584196173,12,12,1,0,0.00385600668259065,-0.00486485253432974,-0.00273716232032339
PHL,Asia,South-eastern Asia,Philippines,1970,78785.265625,0.453540295362473,1.19345998764038,120266.140625,80371.8125,35.8047294616699,3358.94565978354,2244.72614954515,0.0152830994112945,0.0190646017252734,0.00118045999932526,12,12,1,0,-0.00164955328533791,-0.00533711986139647,0.00263887352096359
PHL,Asia,South-eastern Asia,Philippines,1975,111118.5,0.639735996723175,1.20337796211243,159203,114434.75,41.2951240539551,3855.24934595159,2771.14435715177,0.0279450482768864,0.0430356605189257,0.00165655649834862,12,12,1,0,0.011012395580254,0.0186339389322559,0.00311497001998695
PHL,Asia,South-eastern Asia,Philippines,1980,145437.28125,0.626883566379547,1.16095125675201,213701.484375,151617.25,47.3969688415527,4508.75846279116,3198.88072393097,0.0318127727226161,0.0291241728832474,-0.00715286613250976,12,12,1,0,0.0148801200259837,0.0047224512965776,-0.00569445261087143
PHL,Asia,South-eastern Asia,Philippines,1985,144168.46875,0.430411458015442,0.828479111194611,200424.171875,149103.875,54.3236465454102,3689.44621026981,2744.73244124658,-0.0393153699434927,-0.0301593265878349,-0.0652542152634786,12,12,1,0,-0.0562480226401251,-0.0545610481745048,-0.0637958017418403
PHL,Asia,South-eastern Asia,Philippines,1990,226394.8125,0.496650725603104,0.904732823371887,252575.609375,232748.375,61.9473495483399,4077.262565978,3757.19666292385,0.0201910269149874,0.064811621623734,0.0177655740485791,12,12,1,0,0.00325837421835504,0.0404099000370642,0.0192239875702175
PHL,Asia,South-eastern Asia,Philippines,1995,318832.09375,0.494119733572006,0.848461925983429,281150.3125,327551.40625,69.8357162475586,4025.88142009396,4690.31355086089,-0.00253317613432447,0.0453641199742114,-0.0127607751277129,12,12,1,0,-0.0194658288309568,0.0209623983875416,-0.0113023616060746
PHL,Asia,South-eastern Asia,Philippines,2000,318997.25,0.440392971038818,0.881081640720367,334954.28125,324633.1875,77.991569519043,4294.74984688204,4162.41382885281,0.0130138399606945,-0.0235979651384629,0.00757355102478652,12,12,1,0,-0.00391881273593788,-0.0479996867251327,0.00903196454642485
PHL,Asia,South-eastern Asia,Philippines,2005,362493.71875,0.431199491024017,0.920835196971893,419196.71875,364328.25,86.2742385864258,4858.88633291231,4222.90890037855,0.0249903421312521,0.00288997798844304,0.00886522360893838,12,12,1,0,0.00805768943461969,-0.0215117435982268,0.0103236371305767
PHL,Asia,South-eastern Asia,Philippines,2010,506890.9375,0.444636791944504,0.999503791332245,533344.6875,505302.15625,93.7266235351563,5690.42890251931,5391.23396524003,0.0320997014342037,0.0500628486737134,0.0165307182228069,12,12,1,0,0.0151670487375713,0.0256611270870435,0.0179891317444453
PHL,Asia,South-eastern Asia,Philippines,2015,690538.0625,0.490854561328888,1.10217475891113,710950.6875,694190.5,101.716361999512,6989.54104850322,6824.76728771849,0.0419832355096157,0.0482863567397776,0.0197488002248565,12,12,1,0,0.0250505828129833,0.0238846351531077,0.0212072137464948
PRT,Europe,Southern Europe,Portugal,1960,35334.421875,0.753538489341736,0.751501739025116,46545.3515625,35473.36328125,8.69463920593262,5353.33904720747,4079.91205167495,,,,12,12,1,0,,,
PRT,Europe,Southern Europe,Portugal,1965,47831.87109375,0.8327317237854,0.87439101934433,62643.8046875,47219.03515625,8.78330039978027,7132.14871815919,5376.00138980004,0.0590564952864729,0.0567243481689321,0.0307542631647693,12,12,1,0,0.0304896359229856,0.0217993575706195,0.025691470963679
PRT,Europe,Southern Europe,Portugal,1970,67206.6640625,0.977341592311859,1.05531799793243,86311.328125,65405.19140625,8.70185470581055,9918.72779344003,7516.23574714211,0.0681865770413934,0.0693212667610121,0.0383303089461509,12,12,1,0,0.0396197176779061,0.0343962761626995,0.0332675167450607
PRT,Europe,Southern Europe,Portugal,1975,81126.5234375,0.910079479217529,0.994023382663727,106949.6015625,80755.6015625,9.22405910491943,11594.6353276792,8754.88769574676,0.0317161394886802,0.0309795175207461,-0.0118960142417964,12,12,1,0,0.00314928012519294,-0.00394547307756654,-0.0169588064428866
PRT,Europe,Southern Europe,Portugal,1980,100467.40625,0.934492528438568,1.05226361751556,137152.71875,101423.0234375,9.80485057830811,13988.2517999236,10344.1681877218,0.0382483975965804,0.03392490995317,0.0114527297815472,12,12,1,0,0.00968153823309309,-0.00100008064514268,0.006389937580457
PRT,Europe,Southern Europe,Portugal,1985,96784.4453125,0.730211973190308,0.971289694309235,143344.625,96149.796875,9.98557472229004,14355.1702317166,9628.86959930029,0.0051919018587927,-0.01422920715737,-0.0158872801032168,12,12,1,0,-0.0233749575046946,-0.0491541977556826,-0.020950072304307
PRT,Europe,Southern Europe,Portugal,1990,142334,0.794728398323059,1.0683856010437,188871.859375,140622.515625,9.95332717895508,18975.7511211269,14128.1918193473,0.0573971261958706,0.0796978970686113,0.0192385682150757,12,12,1,0,0.0288302668323833,0.0447729064702986,0.0141757760139855
